# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.16.0
#@/tick	859
#@/user_id	c8cff22b-621e-43b6-ade8-64bc31e833a6
a 	啊	c=5 d=0.632651 t=859
zhe jian shi 	這件事	c=1 d=0.612626 t=859
zhe shi 	這是	c=3 d=1.19278 t=859
zhe shi vim 	這是Vim	c=2 d=0.391938 t=859
zhe shi yi ge 	這是一個	c=2 d=0.362638 t=859
zhe xie ren 	這些人	c=1 d=0.628135 t=859
zhe yi bu 	這一步	c=1 d=1 t=460
zhe yi tao 	這一套	c=1 d=0.229925 t=859
zheng chao 	爭吵	c=1 d=0.640824 t=859
zheng li 	整理	c=1 d=1 t=432
zhi chi 	支持	c=3 d=2.53393 t=777
zhi jian 	之間	c=1 d=0.532592 t=859
zhi jie 	直截	c=2 d=1.90484 t=498
zhi qian 	之前	c=3 d=1.2559 t=859
zhi shao 	至少	c=1 d=1 t=434
zhi shi 	只是	c=2 d=0.666977 t=859
zhi shi 	知識	c=1 d=1 t=709
zhi shi yong 	只是用	c=1 d=0.160414 t=859
zhi xing 	之星	c=0 d=0.0794534 t=859
zhi xing 	執行	c=1 d=1 t=650
zhi you 	只有	c=1 d=1 t=470
zhi you yi ci 	只有一次	c=1 d=0.822835 t=859
zhi yuan 	致遠	c=1 d=0.308819 t=859
zhong 	中	c=1 d=0.193013 t=859
zhong duan 	終端	c=4 d=0.864326 t=859
zhong jian 	中間	c=1 d=0.285076 t=859
zhong wen 	中文	c=5 d=0.851694 t=859
zhong ying wen 	中英文	c=5 d=1.04339 t=859
zhuan yong 	專用	c=1 d=0.187308 t=859
zhuang tai 	狀態	c=5 d=1.78873 t=859
zhuang tai lan 	狀態欄	c=1 d=1 t=610
zhun bei 	準備	c=2 d=0.760069 t=859
zi 	自	c=1 d=1 t=793
zi dai 	自帶	c=2 d=1.55711 t=742
zi dian 	字典	c=2 d=0.333937 t=859
zi ding yi 	自定義	c=1 d=1 t=682
zi dong 	自動	c=1 d=0.257947 t=859
zi ji 	自己	c=9 d=1.86901 t=859
zi ji jue de 	自己覺得	c=1 d=1 t=391
zi jin cheng 	子進程	c=2 d=0.679522 t=859
zi ti 	字體	c=1 d=1 t=639
zi zhi 	資質	c=1 d=1 t=799
zi zhi tong jian 	資治通鑑	c=2 d=0.560276 t=859
zou 	走	c=0 d=0.1 t=455
zou dao 	走到	c=0 d=0.1 t=457
zou dao le 	走到了	c=1 d=1 t=458
zsh 	Zsh	c=3 d=0.995012 t=859
zu he 	組合	c=1 d=1 t=509
zui hou 	最後	c=1 d=0.847894 t=859
zui jin 	最近	c=4 d=1.38455 t=859
zuo 	做	c=3 d=1.55105 t=859
zuo de 	做的	c=1 d=1 t=712
zuo fei ji 	坐飛機	c=1 d=1 t=791
zuo ge 	做個	c=1 d=1 t=429
zuo jia wu 	做家務	c=1 d=1 t=829
zuo wei 	作爲	c=1 d=0.203926 t=859
